Cliente;Arquivo;Código;Descrição;Peso;Valor;NCM
Celio Programador 002;Celio Programador 002.xlsx;ITEM;;TOTAL NET WEIGHT( kg );UNIT PRICE UMO;CODE;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;1;;180;0.99;YG11;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;2;;270;0.99;YG11;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;3;;1000;0.99;CY109;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;4;;1000;0.99;EL-32;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;5;;1590;0.99;CPO002/PT;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;6;;2520;0.99;1852;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;7;;195;0.99;DSCA-006;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;8;;600;0.99;K-18;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;9;;400;0.99;K-27;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;10;;150;0.99;7553693;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;11;;250;0.99;7555510VD;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;12;;80;0.99;7555306;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;13;;300;0.99;7555512VD;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;14;;300;0.99;7555706;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;15;;391;0.99;7562437;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;16;;350;0.99;FCH-5026;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;17;;275;0.99;FCH-9027;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;18;;668;0.99;FCH-5007;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;19;;501;0.99;FCH-5016;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;20;;975;0.99;9610018;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;21;;420;0.99;7550212BL;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;22;;336;0.99;ABRD-001;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;23;;300;0.99;RLDR-002BR;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;24;;306;0.99;EPTL-002;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;25;;252;0.99;PXM001;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;26;;2224.8;0.99;TPA002;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;ITEM;;TOTAL NET WEIGHT( kg );UNIT PRICE UMO;CODE;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;1;;180;0.99;YG11;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;2;;270;0.99;YG11;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;3;;1000;0.99;CY109;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;4;;1000;0.99;EL-32;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;5;;1590;0.99;CPO002/PT;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;6;;2520;0.99;1852;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;7;;195;0.99;DSCA-006;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;8;;600;0.99;K-18;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;9;;400;0.99;K-27;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;10;;150;0.99;7553693;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;11;;250;0.99;7555510VD;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;12;;80;0.99;7555306;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;13;;300;0.99;7555512VD;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;14;;300;0.99;7555706;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;15;;391;0.99;7562437;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;16;;350;0.99;FCH-5026;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;17;;275;0.99;FCH-9027;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;18;;668;0.99;FCH-5007;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;19;;501;0.99;FCH-5016;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;20;;975;0.99;9610018;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;21;;420;0.99;7550212BL;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;22;;336;0.99;ABRD-001;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;23;;300;0.99;RLDR-002BR;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;24;;306;0.99;EPTL-002;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;25;;252;0.99;PXM001;❌ Sem foto
Celio Programador 002;Celio Programador 002.xlsx;26;;2224.8;0.99;TPA002;❌ Sem foto
